	Hochschulkurzname	Hochschulname	WKR_NR	SPD_Name	SPD_Adr	CDU_Name	CDU_Adr	Green_Name	Green_Adr	FDP_Name	FDP_Adr	Linke_Name	Linke_Adr	AFD_Name	AFD_Adr	Hochschultyp	Trägerschaft	Bundesland
34	Berlin ESMT	ESMT European School of Management and Technology	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Universitäten	privat, staatlich anerkannt	Berlin
35	Berlin EvH	Evangelische Hochschule Berlin	79.0	Ruppert Stüwe	ruppert.stuewe@bundestag.de	Thomas Heilmann	thomas.heilmann@bundestag.de	Nina Stahr	nina.stahr@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Berlin
36	Berlin FHTouro	Touro College Berlin	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
37	Berlin FU	Freie Universität Berlin	79.0	Ruppert Stüwe	ruppert.stuewe@bundestag.de	Thomas Heilmann	thomas.heilmann@bundestag.de	Nina Stahr	nina.stahr@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Berlin
38	Berlin HaP	Hochschule für angewandte Pädagogik	84.0	Ana-Maria Trăsnea	ana-maria-trasnea@bundestag.de.	None	None	None	None	None	None	Dr. Gregor Gysi	gregor.gysi@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
39	Berlin Hertie	Hertie School	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Universitäten	privat, staatlich anerkannt	Berlin
40	Berlin HfM	Hochschule für Musik Hanns Eisler Berlin	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Berlin
41	Berlin HfS	Hochschule für Schauspielkunst Ernst Busch	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Berlin
42	Berlin HHB	Humanistische Hochschule Berlin	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
43	Berlin HMKW	HMKW Hochschule für Medien, Kommunikation und Wirtschaft	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
44	Berlin HTW	Hochschule für Technik und Wirtschaft Berlin	86.0	None	None	None	None	None	None	None	None	Dr. Gesine Lötzsch	gesine.loetzsch@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Berlin
45	Berlin HU	Humboldt-Universität zu Berlin	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Universitäten	öffentlich-rechtlich	Berlin
46	Berlin HWR	Hochschule für Wirtschaft und Recht Berlin	81.0	Kevin Kühnert	kevin.kuehnert@bundestag.de	Dr. Jan-Marco Luczak	jan-marco.luczak@bundestag.de	Renate Künast	renate.kuenast@bundestag.de	Lars Lindemann	lars.lindemann@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Berlin
47	Berlin IB	IB Hochschule für Gesundheit und Soziales	77.0	None	None	Prof. Monika Grütters	monika.gruetters@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
48	Berlin IPU	International Psychoanalytic University Berlin	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Universitäten	privat, staatlich anerkannt	Berlin
49	Berlin KHS	Katholische Hochschule für Sozialwesen Berlin (KHSB) - Staatlich anerkannte Fachhochschule für Sozialwesen	86.0	None	None	None	None	None	None	None	None	Dr. Gesine Lötzsch	gesine.loetzsch@bundestag.de	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Berlin
50	Berlin MDH	Mediadesign Hochschule für Design und Informatik	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
51	Berlin MSB	Medical School Berlin - Hochschule für Gesundheit und Medizin (MSB)	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
52	Berlin PHB	Psychologische Hochschule Berlin (PHB)	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Universitäten	privat, staatlich anerkannt	Berlin
53	Berlin Quadriga	Quadriga Hochschule Berlin	75.0	Annika Klose	annika.klose@bundestag.de	Dr. Ottilie Klein	ottilie.klein@bundestag.de	Hanna Steinmüller	hanna.steinmueller@bundestag.de	None	None	None	None	Beatrix von Storch	beatrix.vonstorch@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
54	Berlin SRH	SRH Berlin University of Applied Sciences	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
55	Berlin TU	Technische Universität Berlin	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Berlin
56	Berlin UdK	Universität der Künste Berlin	80.0	Michael Müller	michael.mueller@bundestag.de	None	None	Lisa Paus	lisa.paus@bundestag.de	Christoph Meyer	christoph.meyer@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Berlin
57	Berlin VICTORIA	VICTORIA | Internationale Hochschule	83.0	None	None	None	None	Canan Bayram	canan.bayram@bundestag.de	None	None	Pascal Meiser	pascal.meiser@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Berlin
58	Berlin-Weißensee KHB	weißensee kunsthochschule berlin	76.0	None	None	None	None	Stefan Gelbhaar	stefan.gelbhaar@bundestag.de	Daniela Kluckert	daniela.kluckert@bundestag.de	None	None	Dr. Götz Frömming	goetz.froemming@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Berlin
59	Biberach H	Hochschule Biberach - Hochschule für Architektur und Bauwesen, Betriebswirtschaft und Biotechnologie	292.0	Martin Gerster	martin.gerster@bundestag.de	Josef Rief	josef.rief@bundestag.de	Dr. Anja Reinalter	anja.reinalter@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
60	Bielefeld FHDiakonie	Fachhochschule der Diakonie - Diaconia - University of Applied Sciences	132.0	Dr. Wiebke Esdar	wiebke.esdar@bundestag.de	None	None	Britta Haßelmann	britta.hasselmann@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Nordrhein-Westfalen
61	Bielefeld FHM	Fachhochschule des Mittelstands (FHM)	132.0	Dr. Wiebke Esdar	wiebke.esdar@bundestag.de	None	None	Britta Haßelmann	britta.hasselmann@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
62	Bielefeld H	Hochschule Bielefeld - University of Applied Sciences and Arts (HSBI)	132.0	Dr. Wiebke Esdar	wiebke.esdar@bundestag.de	None	None	Britta Haßelmann	britta.hasselmann@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
63	Bielefeld U	Universität Bielefeld	132.0	Dr. Wiebke Esdar	wiebke.esdar@bundestag.de	None	None	Britta Haßelmann	britta.hasselmann@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
64	Bingen TH	Technische Hochschule Bingen	205.0	Daniel Baldy	daniel.baldy@bundestag.de	None	None	Tabea Rößner	tabea.roessner@bundestag.de	None	None	None	None	Sebastian Münzenmaier	sebastian.muenzenmaier@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Rheinland-Pfalz
65	Bochum EBZ	EBZ Business School - University of Applied Sciences	140.0	Axel Schäfer 	axel.schaefer@bundestag.de	None	None	Max Lucks	max.lucks@bundestag.de	Olaf in der Beek	olaf.inderbeek@bundestag.de	Sevim Dağdelen	sevim.dagdelen@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
66	Bochum H	Hochschule Bochum - University of Applied Sciences	140.0	Axel Schäfer 	axel.schaefer@bundestag.de	None	None	Max Lucks	max.lucks@bundestag.de	Olaf in der Beek	olaf.inderbeek@bundestag.de	Sevim Dağdelen	sevim.dagdelen@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
67	Bochum HGesundheit	Hochschule für Gesundheit - University of Applied Sciences	140.0	Axel Schäfer 	axel.schaefer@bundestag.de	None	None	Max Lucks	max.lucks@bundestag.de	Olaf in der Beek	olaf.inderbeek@bundestag.de	Sevim Dağdelen	sevim.dagdelen@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
68	Bochum Rheinland-Westfalen-Lippe EvH	Evangelische Hochschule Rheinland-Westfalen-Lippe	140.0	Axel Schäfer 	axel.schaefer@bundestag.de	None	None	Max Lucks	max.lucks@bundestag.de	Olaf in der Beek	olaf.inderbeek@bundestag.de	Sevim Dağdelen	sevim.dagdelen@bundestag.de	None	None	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Nordrhein-Westfalen
69	Bochum TH	Technische Hochschule Georg Agricola	140.0	Axel Schäfer 	axel.schaefer@bundestag.de	None	None	Max Lucks	max.lucks@bundestag.de	Olaf in der Beek	olaf.inderbeek@bundestag.de	Sevim Dağdelen	sevim.dagdelen@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
70	Bochum U	Ruhr-Universität Bochum	140.0	Axel Schäfer 	axel.schaefer@bundestag.de	None	None	Max Lucks	max.lucks@bundestag.de	Olaf in der Beek	olaf.inderbeek@bundestag.de	Sevim Dağdelen	sevim.dagdelen@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
71	Bonn HFinMan	Hochschule für Finanzwirtschaft & Management	96.0	Jessica Rosenthal	jessica.rosenthal@bundestag.de	None	None	Katrin Uhlig	katrin.uhlig@bundestag.de	Alexander Graf Lambsdorff	alexander.graflambsdorff@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
72	Bonn-Rhein-Sieg H	Hochschule Bonn-Rhein-Sieg, University of Applied Sciences	98.0	None	None	Dr. Norbert Röttgen	norbert.roettgen@bundestag.de	None	None	Nicole Westig	nicole.westig@bundestag.de	None	None	Roger Beckamp	roger.beckamp@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
73	Bonn U	Rheinische Friedrich-Wilhelms-Universität Bonn	96.0	Jessica Rosenthal	jessica.rosenthal@bundestag.de	None	None	Katrin Uhlig	katrin.uhlig@bundestag.de	Alexander Graf Lambsdorff	alexander.graflambsdorff@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
74	Brandenburg FHFinanz (Verw)	Fachhochschule für Finanzen Brandenburg	62.0	Sylvia Lehmann	sylvia.lehmann@bundestag.de	Jana Schimke	jana.schimke@bundestag.de	None	None	None	None	None	None	Steffen Kotré	steffen.kotre@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Brandenburg
75	Brandenburg FHPol (Verw)	Fachhochschule der Polizei Brandenburg	58.0	Ariane Fäscher	ariane.faescher@bundestag.de	Uwe Feiler	uwe.feiler@bundestag.de	None	None	None	None	Anke Domscheit-Berg	anke.domscheit-berg@bundestag.de	None	None	Verwaltungshochschule	öffentlich-rechtlich	Brandenburg
76	Brandenburg TH	Technische Hochschule Brandenburg	60.0	Sonja Eichwede	sonja.eichwede@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Brandenburg
77	Braunschweig HBK	Hochschule für Bildende Künste Braunschweig	50.0	Dr. Christos Pantazis	christos.pantazis@bundestag.de	Carsten Müller 	carsten.mueller@bundestag.de	None	None	Anikó Glogowski-Merten	aniko.merten@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Niedersachsen
78	Braunschweig TU	Technische Universität Carolo-Wilhelmina zu Braunschweig	50.0	Dr. Christos Pantazis	christos.pantazis@bundestag.de	Carsten Müller 	carsten.mueller@bundestag.de	None	None	Anikó Glogowski-Merten	aniko.merten@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Niedersachsen
79	Bremen CU	Constructor University	55.0	Uwe Schmidt	uwe.schmidt@bundestag.de	None	None	None	None	None	None	None	None	None	None	Universitäten	privat, staatlich anerkannt	Bremen
80	Bremen FernFH	APOLLON Hochschule der Gesundheitswirtschaft	54.0	Sarah Ryglewski	sarah.ryglewski@bundestag.de	Thomas Röwekamp	thomas.roewekamp@bundestag.de	Dr. Kirsten Kappert-Gonther	kirsten.kappert-gonther@bundestag.de	Dr. Volker Redder	volker.redder@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Bremen
81	Bremen H	Hochschule Bremen	54.0	Sarah Ryglewski	sarah.ryglewski@bundestag.de	Thomas Röwekamp	thomas.roewekamp@bundestag.de	Dr. Kirsten Kappert-Gonther	kirsten.kappert-gonther@bundestag.de	Dr. Volker Redder	volker.redder@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bremen
82	Bremen HfK	Hochschule für Künste Bremen	55.0	Uwe Schmidt	uwe.schmidt@bundestag.de	None	None	None	None	None	None	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Bremen
83	Bremen U	Universität Bremen	54.0	Sarah Ryglewski	sarah.ryglewski@bundestag.de	Thomas Röwekamp	thomas.roewekamp@bundestag.de	Dr. Kirsten Kappert-Gonther	kirsten.kappert-gonther@bundestag.de	Dr. Volker Redder	volker.redder@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Bremen
84	Bremen VerwH (Verw)	Hochschule für Öffentliche Verwaltung Bremen	55.0	Uwe Schmidt	uwe.schmidt@bundestag.de	None	None	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Bremen
85	Bremerhaven H	Hochschule Bremerhaven	55.0	Uwe Schmidt	uwe.schmidt@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bremen
86	Brühl EUFH	Europäische Fachhochschule Rhein/Erft, european university of applied sciences	92.0	Dagmar Andres	dagmar.andres@bundestag.de	Detlef Seif	detlef.seif@bundestag.de	None	None	Markus Herbrand	markus.herbrand@bundestag.de	None	None	Rüdiger Lucassen	ruediger.lucassen@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
87	Brühl HSBund (Verw)	Hochschule des Bundes für öffentliche Verwaltung	92.0	Dagmar Andres	dagmar.andres@bundestag.de	Detlef Seif	detlef.seif@bundestag.de	None	None	Markus Herbrand	markus.herbrand@bundestag.de	None	None	Rüdiger Lucassen	ruediger.lucassen@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Nordrhein-Westfalen
88	Buxtehude FH	hochschule 21	30.0	None	None	Oliver Grundmann	oliver.grundmann@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Niedersachsen
89	Chemnitz TU	Technische Universität Chemnitz	162.0	Detlef Müller 	detlef.mueller@bundestag.de	None	None	None	None	Frank Müller-Rosentritt	frank.mueller-rosentritt@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Sachsen
